str_firstname,str_lastname,int_totalprice,bol_depositpaid,str_additionalneeds
Ankur1,Shastri1,10,TRUE,Additional Request1
Ankur2,Shastri2,11,TRUE,Additional Request2
Ankur3,Shastri3,12,TRUE,Additional Request3
Ankur4,Shastri4,13,TRUE,Additional Request4
Ankur5,Shastri5,14,TRUE,Additional Request5
Ankur6,Shastri6,15,TRUE,Additional Request6
Ankur7,Shastri7,16,TRUE,Additional Request7
Ankur8,Shastri8,17,TRUE,Additional Request8
Ankur9,Shastri9,18,TRUE,Additional Request9
Ankur10,Shastri10,19,TRUE,Additional Request10
